fighter,year,weight_class,cumulative_fights,head_tar_pct,body_tar_pct,leg_tar_pct,dist_pos_pct,clinch_pos_pct,ground_pos_pct,ctrl_pct,kd_avg,sub_att_avg,td_pct,sig_str_pct,win_rate,archetype,pca_x,pca_y,height,reach,stance
ABDUL-KAREEM AL-SELWADY,2024,Lightweight,1,39.0,21.0,39.0,89.0,10.0,0.0,0.2526964560862866,0.0,0.0,42.0,55.0,0.0,Leg Kick Specialist,-1.5870320560234619,-0.14935801878584143,177.8,180.34,Orthodox
ABDUL-KAREEM AL-SELWADY,2026,Lightweight,2,49.0,18.5,31.5,88.0,9.5,1.0,0.13690378359869887,0.0,0.0,21.0,55.0,0.5,Leg Kick Specialist,-1.5870320560234619,-0.14935801878584143,177.8,180.34,Orthodox
ABDUL-KERIM EDILOV,2017,Light Heavyweight,1,76.0,20.0,2.0,11.0,7.0,80.0,0.7367256637168141,0.0,1.0,100.0,61.0,1.0,Ground & Pound Grappler,6.723574840037584,0.27659081618994186,187.96,193.04,Orthodox
ABEL TRUJILLO,2012,Lightweight,1,38.0,49.0,12.0,1.0,49.0,49.0,0.3414179104477612,1.0,2.0,100.0,76.0,1.0,Wrestling Controller,1.0408927560011196,-0.3660749416730228,172.72,177.8,Orthodox
ABEL TRUJILLO,2013,Lightweight,4,65.25,26.75,7.0,35.25,31.0,32.75,0.23604423087897874,0.25,0.5,95.75,54.75,0.625,Wrestling Controller,1.0408927560011196,-0.3660749416730228,172.72,177.8,Orthodox
ABEL TRUJILLO,2014,Lightweight,6,74.66666666666667,19.666666666666668,4.666666666666667,46.666666666666664,27.166666666666668,25.166666666666668,0.19675773143078348,0.5,0.3333333333333333,70.5,43.333333333333336,0.5833333333333334,Wrestling Controller,1.0408927560011196,-0.3660749416730228,172.72,177.8,Orthodox
ABEL TRUJILLO,2015,Lightweight,7,64.0,16.857142857142858,4.0,40.0,23.285714285714285,21.571428571428573,0.17137057251890284,0.42857142857142855,0.2857142857142857,60.42857142857143,37.142857142857146,0.6428571428571429,Wrestling Controller,1.0408927560011196,-0.3660749416730228,172.72,177.8,Orthodox
ABEL TRUJILLO,2016,Lightweight,9,64.44444444444444,20.555555555555557,3.111111111111111,47.333333333333336,22.11111111111111,18.666666666666668,0.1730749795236809,0.3333333333333333,0.3333333333333333,58.111111111111114,37.666666666666664,0.7222222222222222,Wrestling Controller,1.0408927560011196,-0.3660749416730228,172.72,177.8,Orthodox
ABEL TRUJILLO,2017,Lightweight,11,67.27272727272727,18.545454545454547,4.2727272727272725,56.54545454545455,18.363636363636363,15.272727272727273,0.1704550683815097,0.2727272727272727,0.2727272727272727,50.81818181818182,36.63636363636363,0.5909090909090909,Wrestling Controller,1.0408927560011196,-0.3660749416730228,172.72,177.8,Orthodox
ABNER LLOVERAS,2015,Lightweight,1,58.0,35.0,6.0,80.0,19.0,0.0,0.1922222222222222,0.0,0.0,20.0,49.0,0.0,Distance Sniper,-0.7368529447213992,0.4593166911893585,180.34,180.34,Orthodox
ABU AZAITAR,2018,Middleweight,1,68.0,22.0,8.0,62.0,10.0,27.0,0.21777777777777776,0.0,0.0,100.0,37.0,1.0,Wrestling Controller,0.009872910975005578,0.423140385781272,175.26,193.04,Orthodox
ABU AZAITAR,2021,Middleweight,2,54.5,33.0,10.5,68.5,17.0,13.5,0.17752728174603175,0.0,0.0,50.0,43.0,0.5,Wrestling Controller,0.009872910975005578,0.423140385781272,175.26,193.04,Orthodox
ABU AZAITAR,2023,Middleweight,3,53.333333333333336,32.333333333333336,12.666666666666666,70.66666666666667,13.666666666666666,14.666666666666666,0.130203373015873,0.0,0.0,50.0,41.333333333333336,0.3333333333333333,Wrestling Controller,0.009872910975005578,0.423140385781272,175.26,193.04,Orthodox
ABUBAKAR NURMAGOMEDOV,2019,Welterweight,1,75.0,0.0,25.0,100.0,0.0,0.0,0.6470588235294118,0.0,0.0,100.0,44.0,0.0,Wrestling Controller,0.1503434653713052,-0.9085517415050233,180.34,182.88,Orthodox
ABUBAKAR NURMAGOMEDOV,2021,Welterweight,2,75.0,7.5,17.5,96.5,3.0,0.0,0.46686274509803927,0.0,0.0,60.0,47.0,0.5,Wrestling Controller,0.1503434653713052,-0.9085517415050233,180.34,182.88,Orthodox
ABUBAKAR NURMAGOMEDOV,2022,Welterweight,3,74.0,9.0,16.666666666666668,94.33333333333333,4.333333333333333,0.6666666666666666,0.4871677559912855,0.0,0.0,48.333333333333336,51.0,0.6666666666666666,Wrestling Controller,0.1503434653713052,-0.9085517415050233,180.34,182.88,Orthodox
ABUBAKAR NURMAGOMEDOV,2023,Welterweight,4,66.5,11.75,21.0,90.5,8.25,0.5,0.46982026143790856,0.0,0.0,39.25,51.5,0.5,Wrestling Controller,0.1503434653713052,-0.9085517415050233,180.34,182.88,Orthodox
ABUS MAGOMEDOV,2022,Middleweight,1,85.0,14.0,0.0,42.0,28.0,28.0,0.10526315789473684,1.0,0.0,0.0,100.0,1.0,Wrestling Controller,0.6283360650091359,-0.1681495810135395,182.88,190.5,Orthodox
ABUS MAGOMEDOV,2023,Middleweight,3,59.666666666666664,28.0,11.333333333333334,80.66666666666667,9.333333333333334,9.333333333333334,0.0487781954887218,0.3333333333333333,0.0,16.666666666666668,60.333333333333336,0.3333333333333333,Wrestling Controller,0.6283360650091359,-0.1681495810135395,182.88,190.5,Orthodox
ABUS MAGOMEDOV,2024,Middleweight,5,57.0,29.0,12.8,76.4,7.4,15.6,0.24278608885774472,0.2,0.2,37.0,55.0,0.6,Wrestling Controller,0.6283360650091359,-0.1681495810135395,182.88,190.5,Orthodox
ABUS MAGOMEDOV,2025,Middleweight,7,58.0,30.571428571428573,10.142857142857142,71.57142857142857,5.714285714285714,21.857142857142858,0.2379920964669245,0.14285714285714285,0.2857142857142857,44.285714285714285,60.57142857142857,0.5714285714285714,Wrestling Controller,0.6283360650091359,-0.1681495810135395,182.88,190.5,Orthodox
ADAM CELLA,2013,Middleweight,1,50.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,Leg Kick Specialist,-2.881643078810045,-1.2223025411259558,187.96,190.5,Orthodox
ADAM FUGITT,2022,Welterweight,1,50.0,31.0,18.0,90.0,9.0,0.0,0.16591928251121077,0.0,0.0,12.0,56.0,0.0,Leg Kick Specialist,-1.5259004887236935,0.6710679262776477,180.34,187.96,Orthodox
ADAM FUGITT,2023,Welterweight,3,49.333333333333336,38.666666666666664,11.0,80.66666666666667,9.333333333333334,9.333333333333334,0.2706188532580729,0.0,0.0,23.0,50.333333333333336,0.3333333333333333,Leg Kick Specialist,-1.5259004887236935,0.6710679262776477,180.34,187.96,Orthodox
ADAM FUGITT,2024,Welterweight,4,46.0,41.5,11.5,85.5,7.0,7.0,0.20296413994355467,0.0,0.0,17.25,47.5,0.5,Leg Kick Specialist,-1.5259004887236935,0.6710679262776477,180.34,187.96,Orthodox
ADAM FUGITT,2025,Welterweight,5,43.8,36.0,19.2,86.8,7.0,5.6,0.21033879162964048,0.0,0.0,13.8,48.2,0.4,Leg Kick Specialist,-1.5259004887236935,0.6710679262776477,180.34,187.96,Orthodox
ADAM FUGITT,2026,Welterweight,6,41.0,39.666666666666664,18.166666666666668,86.16666666666667,8.5,4.666666666666667,0.17528232635803373,0.0,0.0,11.5,48.333333333333336,0.3333333333333333,Leg Kick Specialist,-1.5259004887236935,0.6710679262776477,180.34,187.96,Orthodox
ADAM MILSTEAD,2016,Heavyweight,1,89.0,8.0,1.0,81.0,15.0,3.0,0.036968576709796676,0.0,0.0,0.0,50.0,1.0,Distance Sniper,-1.236414814831475,-1.4803477729708354,190.5,193.04,Orthodox
ADAM MILSTEAD,2017,Heavyweight,2,94.5,4.0,0.5,90.5,7.5,1.5,0.018484288354898338,0.0,0.0,0.0,75.0,0.75,Distance Sniper,-1.236414814831475,-1.4803477729708354,190.5,193.04,Orthodox
ADAM MILSTEAD,2018,Light Heavyweight,4,80.0,9.5,9.75,86.5,9.25,3.5,0.009242144177449169,0.0,0.0,0.0,60.0,0.375,Distance Sniper,-1.236414814831475,-1.4803477729708354,190.5,193.04,Orthodox
ADAM WIECZOREK,2017,Heavyweight,1,54.0,35.0,9.0,61.0,26.0,11.0,0.14555555555555555,0.0,0.0,0.0,44.0,1.0,Leg Kick Specialist,-1.4593826148499223,0.8404520329724975,195.58,205.74,Orthodox
ADAM WIECZOREK,2018,Heavyweight,3,37.0,31.0,30.0,79.0,11.0,8.666666666666666,0.09814814814814814,0.0,0.3333333333333333,16.666666666666668,36.666666666666664,0.6666666666666666,Leg Kick Specialist,-1.4593826148499223,0.8404520329724975,195.58,205.74,Orthodox
ADAM YANDIEV,2018,Middleweight,1,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Leg Kick Specialist,-4.681499976862056,0.5024837413119255,175.26,187.96,Orthodox
ADLAN AMAGOV,2013,Welterweight,2,48.5,16.5,34.0,44.0,29.5,25.5,0.16333333333333333,0.5,0.0,30.0,47.5,1.0,Wrestling Controller,0.21196982788064408,0.5039223278098764,187.96,193.04,Orthodox
ADRIAN SERRANO,2000,Welterweight,1,33.0,66.0,0.0,50.0,50.0,0.0,0.31166666666666665,0.0,0.0,0.0,26.0,0.0,Clinch Boxer,-0.5317202058461606,3.7601697899760484,172.72,187.96,Orthodox
ADRIAN YANEZ,2020,Bantamweight,1,88.0,11.0,0.0,94.0,5.0,0.0,0.030120481927710843,1.0,0.0,0.0,50.0,1.0,Distance Sniper,-1.291023473906446,-2.3580362922821396,170.18,177.8,Orthodox
ADRIAN YANEZ,2021,Bantamweight,4,74.0,13.25,12.0,96.0,1.25,2.25,0.011046478345580726,1.0,0.0,0.0,40.5,1.0,Distance Sniper,-1.291023473906446,-2.3580362922821396,170.18,177.8,Orthodox
ADRIAN YANEZ,2022,Bantamweight,5,75.6,14.0,9.6,93.2,1.4,4.6,0.012330632458123969,1.0,0.0,0.0,42.8,1.0,Distance Sniper,-1.291023473906446,-2.3580362922821396,170.18,177.8,Orthodox
ADRIAN YANEZ,2023,Bantamweight,7,72.42857142857143,17.714285714285715,9.285714285714286,93.0,3.142857142857143,3.2857142857142856,0.012010669564899568,0.7142857142857143,0.0,0.0,41.0,0.7142857142857143,Distance Sniper,-1.291023473906446,-2.3580362922821396,170.18,177.8,Orthodox
ADRIAN YANEZ,2024,Bantamweight,9,72.66666666666667,15.11111111111111,11.555555555555555,88.0,2.4444444444444446,9.0,0.029911603052584335,0.6666666666666666,0.0,0.0,43.77777777777778,0.6666666666666666,Distance Sniper,-1.291023473906446,-2.3580362922821396,170.18,177.8,Orthodox
ADRIAN YANEZ,2026,Bantamweight,10,74.2,14.4,10.6,88.6,2.2,8.6,0.027587109413992568,0.7,0.0,0.0,43.6,0.65,Distance Sniper,-1.291023473906446,-2.3580362922821396,170.18,177.8,Orthodox
ADRIANO MARTINS,2013,Lightweight,1,68.0,18.0,12.0,62.0,0.0,37.0,0.5202558635394456,0.0,1.0,100.0,72.0,1.0,Distance Sniper,-0.9569701333700731,-1.620204740599109,177.8,182.88,Southpaw
ADRIANO MARTINS,2014,Lightweight,3,84.0,6.0,9.0,87.33333333333333,0.0,12.333333333333334,0.1805108197613755,0.3333333333333333,0.3333333333333333,33.333333333333336,51.0,0.6666666666666666,Distance Sniper,-0.9569701333700731,-1.620204740599109,177.8,182.88,Southpaw
ADRIANO MARTINS,2015,Lightweight,5,73.6,6.8,18.6,85.6,0.0,14.0,0.13475093630126975,0.4,0.2,35.0,45.2,0.8,Distance Sniper,-0.9569701333700731,-1.620204740599109,177.8,182.88,Southpaw
ADRIANO MARTINS,2016,Lightweight,6,65.16666666666667,8.5,25.166666666666668,88.0,0.0,11.666666666666666,0.11229244691772479,0.3333333333333333,0.16666666666666666,29.166666666666668,44.333333333333336,0.6666666666666666,Distance Sniper,-0.9569701333700731,-1.620204740599109,177.8,182.88,Southpaw
ADRIANO MARTINS,2017,Lightweight,7,63.0,7.285714285714286,28.714285714285715,89.71428571428571,0.0,10.0,0.09845185742848786,0.2857142857142857,0.2857142857142857,25.0,45.285714285714285,0.5714285714285714,Distance Sniper,-0.9569701333700731,-1.620204740599109,177.8,182.88,Southpaw
ADRIANO SANTOS,1998,Middleweight,1,72.0,18.0,9.0,36.0,0.0,63.0,0.0,0.0,0.0,66.0,30.0,0.0,Ground & Pound Grappler,2.3531605704275127,-0.7439169751531887,182.88,190.5,Orthodox
AIEMANN ZAHABI,2017,Bantamweight,2,85.0,11.5,2.0,88.5,7.5,3.0,0.07560817084493965,0.5,0.0,0.0,41.0,0.5,Distance Sniper,-1.1087721685144631,-1.683466020724763,172.72,172.72,Orthodox
AIEMANN ZAHABI,2019,Bantamweight,3,73.33333333333333,18.333333333333332,7.0,91.0,6.0,2.0,0.06447952130403384,0.3333333333333333,0.0,6.666666666666667,38.666666666666664,0.3333333333333333,Distance Sniper,-1.1087721685144631,-1.683466020724763,172.72,172.72,Orthodox
AIEMANN ZAHABI,2021,Bantamweight,4,77.0,16.5,5.25,84.75,7.25,7.0,0.06187315449153889,0.5,0.0,5.0,49.25,0.5,Distance Sniper,-1.1087721685144631,-1.683466020724763,172.72,172.72,Orthodox
AIEMANN ZAHABI,2022,Bantamweight,5,68.2,16.4,14.2,87.4,6.0,5.6,0.04949852359323111,0.4,0.0,4.0,49.6,0.6,Distance Sniper,-1.1087721685144631,-1.683466020724763,172.72,172.72,Orthodox
AIEMANN ZAHABI,2023,Bantamweight,6,73.5,13.666666666666666,11.833333333333334,82.83333333333333,5.0,11.333333333333334,0.049061269661025926,0.5,0.0,3.3333333333333335,51.666666666666664,0.6666666666666666,Distance Sniper,-1.1087721685144631,-1.683466020724763,172.72,172.72,Orthodox
AIEMANN ZAHABI,2024,Bantamweight,8,74.75,14.125,10.125,86.875,3.875,8.5,0.038601507801325,0.375,0.0,2.5,50.625,0.75,Distance Sniper,-1.1087721685144631,-1.683466020724763,172.72,172.72,Orthodox
AIEMANN ZAHABI,2025,Bantamweight,10,73.5,15.1,10.4,85.8,4.1,9.3,0.04843676179661556,0.3,0.0,2.0,50.7,0.8,Distance Sniper,-1.1087721685144631,-1.683466020724763,172.72,172.72,Orthodox
AILIN PEREZ,2022,Women's Featherweight,1,43.0,56.0,0.0,50.0,37.0,12.0,0.15656565656565657,0.0,0.0,33.0,47.0,0.0,Ground & Pound Grappler,1.9067043515906676,0.5588358305565,170.18,170.18,Orthodox
AILIN PEREZ,2023,Women's Bantamweight,3,66.33333333333333,26.0,6.333333333333333,32.666666666666664,22.333333333333332,44.0,0.5010774410774411,0.0,0.0,41.333333333333336,53.333333333333336,0.6666666666666666,Ground & Pound Grappler,1.9067043515906676,0.5588358305565,170.18,170.18,Orthodox
AILIN PEREZ,2024,Women's Bantamweight,5,61.6,22.6,14.6,39.4,20.0,39.4,0.4459108324625566,0.2,0.2,45.6,57.0,0.8,Ground & Pound Grappler,1.9067043515906676,0.5588358305565,170.18,170.18,Orthodox
AILIN PEREZ,2025,Women's Bantamweight,6,58.833333333333336,21.666666666666668,18.333333333333332,47.833333333333336,17.166666666666668,33.833333333333336,0.41881458260768606,0.16666666666666666,0.16666666666666666,42.166666666666664,55.333333333333336,0.8333333333333334,Ground & Pound Grappler,1.9067043515906676,0.5588358305565,170.18,170.18,Orthodox
AILIN PEREZ,2026,Women's Bantamweight,7,57.714285714285715,23.285714285714285,17.714285714285715,45.142857142857146,20.0,33.714285714285715,0.4313648803303976,0.14285714285714285,0.14285714285714285,44.714285714285715,57.57142857142857,0.8571428571428571,Ground & Pound Grappler,1.9067043515906676,0.5588358305565,170.18,170.18,Orthodox
